$tab_structure			"Structure"
$tab_furniture			"Furniture"
$tab_roofs				"Roofs"
$tab_outdoors			"Outdoors"
$tab_greenhouse			"Grenhouse"
$ImprovedHammer: 		"Improved Hammer"
$piece_45cornerroof		"45 Corner Roof"
$piece_45roof			"45 Roof"
$piece_45roofridge		"45 Roof Ridge"
$piece_bedrk			"Bed"
$piece_blackpinetree	"Black Pine Tree"
$piece_bucket			"Bucket"
$piece_cabinet			"Cabinet"
$piece_candle			"Candle"
$piece_chair			"Chair"
$piece_cherryblossom	"Cherry Blossom Tree"
$piece_fencerk			"Fence"
$piece_halffence		"Half Fence"
$piece_tablelamp		"Table Lamp"
$piece_hanginglamp		"Hanging Lamp"
$piece_lamppost			"Lamp Post"
$piece_mapletree		"Maple Tree"
$piece_smallcrate		"Small Crate"
$piece_groundbrazier	"Ground Brazier"
$piece_4stonepost		"Stone Post 4m"
$piece_2stonepost		"Stone Post 2m"
$piece_lrug				"Large Rug"
$piece_srug				"Small Rug"
$piece_screen			"Screen"
$piece_lshelf			"Long Shelf"
$piece_sshelf			"Short Shelf"
$piece_sidetable		"Side Table"
$piece_stonehearth		"Stone Hearth"
$piece_stoneslab		"Stone Slab"
$piece_tablerk			"Table"
$piece_well				"Well"
$piece_twindow			"Window Tall"
$piece_mwindow			"Window Medium"
$piece_swindow			"Window Short"
$piece_swindows			"Window Simple"
$piece_stonewindows		"Stone Window Small"
$piece_stonewindowl		"Stone Window Long"
$piece_hfence			"Heavy Fence"
$piece_hfencecorner		"Heavy Fence Corner"
$piece_fountain			"Fountain"
$piece_barrel			"Barrel"
$piece_crate			"Crate"
$piece_ironfence		"Iron Fence"
$piece_floorrk			"Floor"
$piece_26roofrk			"26 Roof"
$piece_26roofcorner		"26 Roof Corner"
$piece_wallrk			"Wall"
$piece_smallhearth		"Small Hearth"
$piece_tower			"Tower"
$piece_woodrack			"Wood Rack"
$piece_outhouse			"Outhouse"
$piece_hearthdim		"Dim Smokless Hearth"
$piece_stoneroof		"Stone Roof"
$piece_stonestairs		"Stone Stairs"
$piece_rkstool			"Toilet Seat"
$piece_26beam			"26 Beam"
$piece_26inner			"26 Inner Corner Roof"
$piece_26ridge			"26 Roof Ridge"
$piece_26roofx			"26 Roof X"
$piece_26wall			"26 Wall"
$piece_45beam			"45 Beam"
$piece_45innerc			"45 Inner Corner Roof"
$piece_45roofx			"45 Roof X"
$piece_45wall			"45 Wall"
$piece_halfwall			"Half Wall"
$piece_glassdoor		"Glass Door"
$piece_rkbeam			"1m Beam"
$piece_rkbeam2			"2m Beam"
$piece_rkpole			"1m Pole"
$piece_rkpole2			"2m Pole"
$piece_rkstairs			"Wood Stairs"
$piece_26fence			"26 Fence"
$piece_gfloor			"Glass Floor"
$piece_gwall			"Glass Wall"
$piece_45groof			"45 Glass Roof"
$piece_45gwall			"45 Glass Wall"
$piece_metbeam			"Metal Beam"
$piece_ghousecounter	"Greenhouse Counter"
$piece_counter			"Counter"
$piece_rksink			"Sink"
$piece_potrk			"Pot"
$piece_rkbonsai			"Bonsai"
$piece_rkdoor			"Door"
$piece_rkgate			"Gate"
$piece_curvecorner		"Arch Corner"
$piece_26gcroof			"26 Glass Corner Roof"
$piece_45gcroof			"45 Glass Corner Roof"
$piece_26to45			"26 to 45 Wall"
$piece_rkbridge			"Drawbridge"
